,ano,Total mulheres,Porcentagem de mulheres,Média Salarial,Diferença Salarial,Média Homens,Salário/hora,Diferença Salário/hora,Salário/hora homens,Vínculo precários mulheres,Porcentagem de vínculos precários mulheres,Horas trabalhadas (mulheres),Diferença horas contratadas,Horas trabalhadas homens,Idade média (mulheres),Diferença idade,Idade média (homens),t - Salário,t - Horas,t - Salário/hora,t - idade
13,1998,7975,0.4799301919720768,13.339885893416927,-0.06755455219503752,14.306344596158295,,,,137,0.38591549295774646,33.77561770977047,-0.0034438015282129216,33.892336188932624,32.201429825661606,-0.13326594642541129,37.15260718424102,2.859312394423466e-06,0.3014131480237037,,4.0784249648134964e-220
14,1999,7862,0.48590852904820764,13.01120071228695,-0.046839533575871596,13.650587881702332,0.39999127904212073,-0.05088864716710534,0.421437672037356,130,0.41935483870967744,34.17031289748156,-0.0010134273830681704,34.20497715797067,32.50871390408345,-0.1314150396727083,37.42721252257676,0.0011135878781846922,0.749971767187277,0.0006310962768655543,2.6613840542128196e-211
15,2000,8995,0.5001111975981318,13.028558087826571,-0.06287182784480493,13.902642642642643,0.39381492806580826,-0.06420723167220703,0.420835618092596,219,0.48558758314855877,34.54974986103391,-8.433253861626483e-05,34.552663774886,32.30290225731124,-0.12224889699966125,36.80189309576837,5.131659031581855e-06,0.9776773237151404,4.535330872489138e-06,1.9183221343470764e-198
16,2001,8742,0.5011465260261408,12.242275223061085,-0.08044680549861224,13.31328660078143,0.3720245028129592,-0.07429486538903783,0.4018822937276961,265,0.3943452380952381,34.57240905971174,-0.00621639793211952,34.78866927143186,32.369221967963384,-0.12653029030999607,37.058207753364776,3.831297470555483e-07,0.04314336910041701,4.796868879255741e-06,5.684555890444219e-208
17,2002,8355,0.5066399854466073,10.832203470975463,-0.06086306628909334,11.534210914454277,0.32796192362589893,-0.052958306012871666,0.346301462446865,167,0.4154228855721393,34.68402154398564,-0.0018492342671441312,34.74827925270403,32.28528672333294,-0.12596808443483326,36.938338461538464,0.00036305489490828314,0.5659242097526861,0.0026370362779052797,1.6412238249805366e-198
18,2003,17907,0.5284171388101983,8.276263472385102,-0.2264637815131077,10.699257868719103,0.23986188199412833,-0.216174822933547,0.3060145157518878,314,0.37968561064087064,37.972022114256994,0.025986304097719008,37.01026218634629,32.68403417657899,-0.11177621413014983,36.79707152243289,4.534363702130648e-74,6.280761850605646e-34,2.1090233088989184e-61,1.2949774037380003e-284
19,2004,20986,0.5446382227758746,7.230844372438769,-0.2486958848071219,9.624390744329192,0.20665633642273898,-0.24692170332847124,0.2744154722505256,1107,0.45128414186710153,38.748737253407036,0.030896233179956302,37.58742733386527,31.835414085580865,-0.11837253280848473,36.10982560127665,1.1061667872138253e-96,2.302318435609028e-57,2.9111705472893992e-92,0.0
20,2005,24948,0.5543753610950625,6.534619608786276,-0.2751919365320623,9.015655230876634,0.18681764814277066,-0.27902857802142744,0.2591193526507392,1716,0.4412445358704037,38.80767997434664,0.035409806109818795,37.480502642864266,31.5077163586804,-0.11812342969619011,35.7280343073701,5.359276778382241e-137,5.337897167756712e-85,2.286161605861194e-135,0.0
21,2006,26426,0.5525908577642089,5.6580235374252625,-0.25489582859868554,7.593600673022995,0.1610663904199176,-0.2535119081546151,0.21576551880653203,1694,0.4401143154065991,38.840346628320596,0.028324440206434386,37.77051785380445,31.893505903723888,-0.10645823166633687,35.693357640349646,1.5436740569572087e-119,1.6108988660420875e-58,3.4186632559639313e-113,0.0
22,2007,28987,0.5538000076420465,5.205428295442784,-0.23594486585431457,6.812896167844145,0.1474122391807672,-0.23618504567390167,0.19299470159081483,1530,0.4156479217603912,39.05129885810881,0.025758693604079418,38.07064868336545,32.04961186820769,-0.09879302865116053,35.562987068596385,2.6326531864984616e-110,6.172337421834151e-54,6.398400741390252e-101,3.689968266727324e-307
23,2008,31611,0.5638981055335546,4.98332669007624,-0.24240901815462837,6.577859042009245,0.14078740316577998,-0.2504507567122842,0.1878294247196491,1176,0.38992042440318303,39.09525165290563,0.02951948136178643,37.9742708716816,32.11325529895603,-0.09712828160976686,35.567904769696476,5.867245474886395e-129,3.8259315501807915e-76,9.09073867693097e-95,0.0
24,2009,29942,0.5496768982229402,5.150625876694944,-0.18067538991436152,6.286428862617203,0.14840224562384208,-0.1744496584585466,0.17976159436473366,510,0.4726598702502317,38.558513125375725,0.02599628687779419,37.58153281695883,32.90647650222118,-0.08851997158497375,36.102246320681644,2.565579509676809e-66,9.034437548362153e-54,2.282431452023452e-48,1.7965143752930906e-265
25,2010,35958,0.5614139174694375,4.56648562211469,-0.19276180707557536,5.6569246377843445,0.13030400001144424,-0.1903550856282609,0.16093968812557335,3092,0.43537031822021965,39.08084431837143,0.026163992327158696,38.0844042575914,31.699974970103177,-0.09710052795508758,35.10908573056109,2.2312980987086518e-96,1.9889599678360454e-68,2.0455784120033023e-75,0.0
26,2011,35651,0.546166219839142,4.964271969930717,-0.16769552159147633,5.964490278152849,0.14208196843194512,-0.167706277633457,0.1707113301635262,1321,0.41462649089767734,38.47409609828616,0.021678207356783635,37.65774372130705,32.616521739130434,-0.08587946784484561,35.68076702339556,1.0402708051154303e-76,9.754260862429615e-43,1.919102296273303e-51,9.904467367217731e-285
27,2012,36131,0.5473067135239942,4.926788630262101,-0.13839357764306476,5.7181428810440025,0.14223843854624266,-0.13387128391066364,0.16422321059676256,648,0.46219686162624823,38.127618942182615,0.01622462398027148,37.518889074786685,33.026321616385275,-0.08366519887687948,36.04176287521333,1.2871476259160764e-50,1.5510449202951415e-26,2.4997196174436978e-36,8.482696248633483e-280
28,2013,36695,0.5452046653294703,4.8140823000408774,-0.13167801993363645,5.544121202221496,0.13930877540570924,-0.13127503078751987,0.16036004528797643,479,0.43309222423146476,38.221174546941,0.01811818756960825,37.54099967330938,33.46865972638579,-0.07711151989710045,36.26511810251887,1.6661672578606908e-50,2.0923170953104048e-33,1.3620903095586009e-35,1.2317800479391093e-242
29,2014,35427,0.5353855918755951,4.881104242526886,-0.11586524833865146,5.5207695810564665,0.13990965746227055,-0.12122761687450938,0.15921034860547176,426,0.375,37.84384791260903,0.012296870220293778,37.38413999479573,33.84076217360621,-0.07367432826926659,36.532251244185666,4.811452101884934e-41,5.740815119587102e-16,3.4353826359087847e-38,3.3165113980124626e-222
30,2015,33116,0.5292040206465635,4.9432984056045415,-0.10120271846728064,5.4999036013713045,0.14166996187342265,-0.10452304305222801,0.15820615011278893,423,0.47,37.62513588597657,0.011520864951973941,37.19659889345236,34.447772912577385,-0.07099907975570421,37.08045079602159,1.1232573238899759e-29,3.023900263926318e-13,2.065249914311007e-28,1.4720907658808076e-196
31,2016,30470,0.5216661815816056,4.839834919593042,-0.0820630287168277,5.272513332617488,0.13891464045194618,-0.08322989194288997,0.15152614513833224,374,0.4746192893401015,37.40160813915327,0.00745885886098518,37.124700239808156,35.03902198884148,-0.06592653869969682,37.51206242393872,6.413042512197894e-18,4.935743506851923e-06,1.1324965240902905e-17,3.0846804196706925e-161
32,2017,28941,0.5188697850368431,4.953696140423621,-0.06293342823727092,5.28638657027873,0.1437978878703962,-0.06822421342225113,0.15432670599709503,263,0.491588785046729,37.13479147230573,0.009692430316222717,36.778320166939935,35.421789157250956,-0.0628358003428168,37.79678008422465,1.1147041524708955e-10,1.2926951440869371e-08,1.428856257431705e-11,8.015212890306329e-144
33,2018,27293,0.5140021469330872,5.026459898142381,-0.05616517781951128,5.325571572502519,0.1467857466240798,-0.05587251899930091,0.1554723801371598,411,0.45819397993311034,36.794306232367276,0.0055501604223248315,36.591219096334186,35.81344814950531,-0.0633132190157057,38.234176969884885,7.605219606659039e-09,0.0016512165131754015,8.420667775963075e-08,1.3951947080825636e-141
34,2019,27058,0.5128117655977561,4.7285431295735085,-0.07693080767373374,5.1226312923052975,,,,594,0.44328358208955226,37.17760485860695,0.003483336965497166,37.04855226697723,36.097804391217565,-0.06125376813012204,38.45320829604265,2.1666905565613926e-13,0.00020267427806928997,,9.477132250575533e-132
35,2020,25526,0.5113688723280646,4.555664812348194,-0.055944419988270294,4.825631995408142,,,,483,0.46397694524495675,36.997565064665494,0.007317321589250031,36.72880856083586,36.64323773703181,-0.05833874577784514,38.91339648173207,2.348887432226885e-07,6.4030459338077165e-12,,1.635003755151471e-113
36,2021,25910,0.5128763435539104,4.522361250482439,-0.05261892095240404,4.773539761875736,,,,501,0.43985952589991223,37.24426190850495,0.008563106998706656,36.928043123981446,36.514764349403634,-0.05877815126486284,38.7950666449935,4.903449344043284e-07,1.0441364103816462e-16,,3.6564350713559984e-117
